Player,Team,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
James Harden, HOU,72,35.4,0.619,23.2,11.6,35.9,1.8,15.2,8.6,29.87,718.5,23.9
Anthony Davis, NO,75,36.4,0.612,8.4,7.9,27.7,7.7,24.8,16.5,28.98,711.4,23.7
LeBron James, CLE,82,36.9,0.621,25.7,11.9,31.7,3.7,22.3,13.1,28.65,819.5,27.3
Stephen Curry, GS,51,32,0.675,21.2,10.5,30,2.7,14.4,9,28.32,421.7,14.1
Giannis Antetokounmpo, MIL,75,36.7,0.598,15.9,9.8,29.8,6.7,25.3,16,27.37,652.7,21.8
Kevin Durant, GS,68,34.2,0.64,18.6,10.5,29.1,1.6,19.5,11.2,26.05,539.7,18
Damian Lillard, POR,73,36.6,0.594,20.6,8.8,30.5,2.6,10.6,6.6,25.19,565.4,18.8
LaMarcus Aldridge, SA,75,33.5,0.57,8.5,6.2,27.5,10.8,17.3,14,25.12,510.2,17
Kyrie Irving, BOS,60,32.2,0.61,18.6,8.5,30.3,1.9,10.8,6.4,25.03,404.4,13.5
Karl-Anthony Towns, MIN,82,35.6,0.646,11.7,9.3,21.9,9.3,30.9,20,24.99,626.6,20.9
Russell Westbrook, OKC,80,36.4,0.524,26.1,12.1,35.7,5.6,25.7,15.3,24.8,600,20
Montrezl Harrell, LAC,76,17,0.647,9.4,8.6,22.5,8.9,17,13,24.73,255.4,8.5
Clint Capela, HOU,74,27.5,0.65,7.1,10.7,18,13.5,30.8,22.2,24.55,423.6,14.1
Nikola Jokic, DEN,75,32.5,0.603,25.2,11.6,24.9,9,27.9,18.5,24.52,507,16.9
Chris Paul, HOU,58,31.8,0.604,30.9,8.6,25.4,2.3,16.7,9.5,24.39,369.2,12.3
Hassan Whiteside, MIA,54,25.3,0.573,6.7,11.4,22.9,14.3,36.6,25.4,24.18,276.5,9.2
Enes Kanter, NY,71,25.8,0.63,10.3,12,20.9,16.6,30.6,23.6,24.02,366.6,12.2
Jimmy Butler, MIN,59,36.7,0.59,19.1,7.2,24.6,4.2,12.7,8.4,23.7,426.4,14.2
Victor Oladipo, IND,75,34,0.577,15.8,10.7,29.1,2.1,15.1,8.6,23.12,480.7,16
Joel Embiid, PHI,63,30.3,0.573,11.7,13.8,31.8,8.4,29.7,19.4,22.95,352.5,11.7
Andre Drummond, DET,78,33.7,0.555,15.9,13.4,20.6,16.4,36.4,26.2,22.94,483.5,16.1
DeMarcus Cousins, NO,48,36.2,0.583,16.7,15.8,30.5,6.8,30.9,19.2,22.66,312.5,10.4
Jonas Valanciunas, TOR,77,22.4,0.628,8.3,11.8,21.3,12.1,30.3,21.4,22.52,307.3,10.2
Kevin Love, CLE,59,28,0.614,9.9,8.7,23.4,7,29.8,18.6,22.44,291.8,9.7
JaVale McGee, GS,65,9.5,0.641,10.9,8.9,17.8,11.5,18.7,15.4,22.39,108.2,3.6
Greg Monroe, BOS/MIL/PHX,51,20.4,0.598,17.6,14.5,24.2,0,0,0,21.24,165.2,5.5
Tyreke Evans, MEM,52,30.9,0.561,20.9,9.1,28.2,3.1,16.3,9.5,21.16,255.6,8.5
Trey Burke, NY,36,21.8,0.563,27.3,6.9,26,1.8,8.2,5,21.11,118.5,3.9
