Year,Player,Position,PosNum,Salary
2017,Jon Leuer,Power Forward,4,"$10,497,319"
2017,John Henson,Power Forward,4,"$10,422,536"
2017,Iman Shumpert,Shooting Guard,2,"$10,337,079"
2017,Danny Green,Shooting Guard,2,"$10,000,000"
2017,Meyers Leonard,Center,5,"$9,904,494"
2017,Tony Snell,Shooting Guard,2,"$9,821,429"
2017,Al Jefferson,Center,5,"$9,769,821"
2017,Maurice Harkless,Small Forward,3,"$9,662,921"
2017,Matthew Dellavedova,Point Guard,1,"$9,607,500"
2017,Bogdan Bogdanovic,Shooting Guard,2,"$9,470,614"
2017,Andre Roberson,Shooting Guard,2,"$9,259,260"
2017,Dwight Powell,Power Forward,4,"$9,003,125"
2017,Jerryd Bayless,Point Guard,1,"$9,000,000"
2017,Avery Bradley,Shooting Guard,2,"$8,808,989"
2017,JaMychal Green,Power Forward,4,"$8,533,333"
2017,E'Twaun Moore,Shooting Guard,2,"$8,445,024"
2017,Rudy Gay,Small Forward,3,"$8,406,000"
2017,Kosta Koufos,Center,5,"$8,393,000"
2017,Vince Carter,Shooting Guard,2,"$8,000,000"
2017,C.J. Miles,Small Forward,3,"$7,936,508"
2017,Cristiano Felicio,Power Forward,4,"$7,843,500"
2017,Shaun Livingston,Point Guard,1,"$7,692,308"
2017,Cory Joseph,Point Guard,1,"$7,630,000"
2017,P.J. Tucker,Small Forward,3,"$7,590,035"
2017,Andrew Wiggins,Small Forward,3,"$7,574,323"
2017,Darrell Arthur,Power Forward,4,"$7,464,912"
2017,Channing Frye,Power Forward,4,"$7,420,912"
2017,Al-Farouq Aminu,Power Forward,4,"$7,319,035"
2017,Cole Aldrich,Center,5,"$7,300,000"
2017,D.J. Augustin,Point Guard,1,"$7,250,000"
2017,Markelle Fultz,Point Guard,1,"$7,026,240"
2017,Jeremy Lamb,Shooting Guard,2,"$7,000,000"
2017,Jae Crowder,Small Forward,3,"$6,796,117"
2017,Jabari Parker,Power Forward,4,"$6,782,392"
2017,Langston Galloway,Shooting Guard,2,"$6,666,667"
